id,tipo,situacao,data,hora,bairro,endereco,numero,complemento,natureza,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,latitude,longitude
1481,SEM VÍTIMA,CANCELADA,2016-04-18,07:05:00,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,em frente a mercedes bens/sub/cidade,COLISÃO,sem vitimas,1,1,,,,,,,,0,-8.1134632,-34.912731
1482,COM VÍTIMA,FINALIZADA,2016-04-18,07:28:00,IPSEP,AV RECIFE,2959,EM FRENTE A REDE MULTIS/ SENTIDO BOA VIAGEM,COLISÃO,COLISÃO COM VÍTIMA,1,1,,,,,,,,1,-8.1137402,-34.9258579
1483,SEM VÍTIMA,FINALIZADA,2016-04-18,07:42:00,ZUMBI,RUA TOMAZ GONZAGA,167,RUA PARALELA AO COLEGO LUDIENÇA,,,2,,,,,,,,,0,-8.0490606,-34.9166938
1484,SEM VÍTIMA,FINALIZADA,2016-04-18,08:12:00,BOA VISTA,RUA JOAO FERNANDES VIEIRA,,EM FRENTE A BIG BEM,COLISÃO,COLISÃO SEM VÍTIMA,2,,,,,,,,,0,-8.0534561,-34.89193
1485,COM VÍTIMA,FINALIZADA,2016-04-18,08:39:00,SANTO AMARO,AV CRUZ CABUGA,,E/F AO GINÁSIO PERNAMBUCANO SENTIDO OLINDA. LADO DIREITO DA VIA,COLISÃO,COM UMA VÍTIMA.,1,1,,,,,,,,1,-8.0458417,-34.8757468
1486,SEM VÍTIMA,FINALIZADA,2016-04-18,09:01:00,MADALENA,RUA BENFICA,480,EM FRENTE AO CENTRO DE ESTUDO FERNANDINHO E CIA,COLISÃO,COL.S/V,2,,,,,,,,,0,-8.0583058,-34.9030703
1487,SEM VÍTIMA,FINALIZADA,2016-04-18,09:22:00,SAN MARTIN,RUA JOSE VELOSO,1610,E/F AO TOP TRAINING E A PRAÇA,COLISÃO,SEM VÍTIMAS,2,,,,,,,,,0,-8.0656212,-34.9275658
1488,SEM VÍTIMA,CANCELADA,2016-04-18,09:27:00,BOA VIAGEM,RUA FELIX DE BRITO E MELO,,EM FRENTE A CATEDRAL DA RECONCILIAÇÃO,COLISÃO,COLISÃO SEM VITIMAS,1,,,,,,1,,,0,-8.11681,-34.8976588
1489,SEM VÍTIMA,CANCELADA,2016-04-18,09:50:00,ESTÂNCIA,AV RECIFE,,E/F AO MAKRO SENTIDO BR,COLISÃO,COLISAO AUTO E CAMINHAO SEM VITIMA,1,,,,,,1,,,0,-8.0815237,-34.9334022
1490,SEM VÍTIMA,FINALIZADA,2016-04-18,09:52:00,CAXANGÁ,RUA RIBEIRO PESSOA,,EM FRENTE A UPA DA CAXANGÁ,ENGAVETAMENTO,ENTRE TRES VEICULOS,3,,,,,,,,,0,-8.0264249,-34.9568258
1491,SEM VÍTIMA,FINALIZADA,2016-04-18,10:03:00,BOA VIAGEM,RUA RIBEIRO DE BRITO,,NO SEMAFORO Nº147,COLISÃO,COL.S/V GM JOÃO RICARDO E GM FABIA JA NO LOCAL,2,,,,,,,,,0,-8.1230486,-34.903348
1492,SEM VÍTIMA,CANCELADA,2016-04-18,10:13:00,ILHA DO RETIRO,AV ENGENHEIRO ABDIAS DE CARVALHO,,EM FRENTE AO CAMPO DO SPORT,COLISÃO,COLISÃO SEM VITIMAS,1,2,,,,,,,,0,-8.0621777,-34.9095643
1493,SEM VÍTIMA,FINALIZADA,2016-04-18,10:22:00,AFOGADOS,RUA SAO MIGUEL,469,EM FRENTE A SAIDA DA MATERNIDADE BANDEIRA FILHO,COLISÃO,SEM VITIMAS,3,,,,,,,,,0,-8.0804168,-34.9109414
1494,SEM VÍTIMA,FINALIZADA,2016-04-18,10:29:00,GRAÇAS,RUA JOAQUIM NABUCO,,PROX. ESCOLA MARIA AUXILIADORA,COLISÃO,COLISAO SEM VITIMA CAMIONETE E ONIBUS,1,,,,,1,,,,0,-8.0525334,-34.9001045
1495,SEM VÍTIMA,CANCELADA,2016-04-18,12:02:00,AFOGADOS,RUA SAO MIGUEL,,EM FRENTE AO POSTO IPIRANGA / SENT SAN MARTIM,COLISÃO,DOIS AUTOS,2,,,,,,,,,0,-8.0807445,-34.9158613
1496,COM VÍTIMA,FINALIZADA,2016-04-18,12:09:00,BOA VIAGEM,RUA VISCONDE DE JEQUITINHONHA,,EM FRENTE AO HOSPITAL N.S DAS GRAÇAS,COLISÃO,COLISÃO ENTRE AUTO E MOTO COM VÍTIMA,1,1,,,,,,,,1,-8.1384247,-34.9043899
1497,SEM VÍTIMA,CANCELADA,2016-04-18,12:25:00,CORDEIRO,RUA ANTONIO VALDEVINO COSTA,280,RUA DO RESTAURANTE JOAAO DA CARNE,COLISÃO,DOIS AUTOS,2,,,,,,,,,0,-8.059417,-34.9280154
1498,SEM VÍTIMA,FINALIZADA,2016-04-18,12:47:00,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,84,E/F DO BANCO ITAU,COLISÃO,SUB CLAUDEMIR ESTA NO LOCAL VT 09,1,,,,,,1,,,0,-8.0965004,-34.9096424
1499,SEM VÍTIMA,FINALIZADA,2016-03-01,07:02:00,ESTÂNCIA,AV JOAO CABRAL DE MELO NETO,5330,AO LADO DO CERPE,COLISÃO,COLISÃO SEM VITIMA,1,,,,,1,,,,0,-8.078556,-34.9318233
1500,COM VÍTIMA,FINALIZADA,2016-03-01,07:22:00,BOA VISTA,RUA MIGUEL COUTO,81,EM FRENTE POUSADA DA VILA BOA VISTA,COLISÃO,COL.C/V,1,1,,,,,,,,1,-8.0570544,-34.8966638
1501,SEM VÍTIMA,FINALIZADA,2016-03-01,07:57:00,ARRUDA,AV PROFESSOR JOSE DOS ANJOS,,E/F AO CONSÓRCIO FIAT SENTIDO AV. BEBERIBE. LADO DIREITO DA VIA.,COLISÃO,SEM VÍTIMAS.,3,,,,,,,,,0,-8.0277576,-34.8924758
1502,SEM VÍTIMA,FINALIZADA,2016-03-01,08:20:00,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,EM FRENTE A MERCEDES BENSSENT CIDADE,COLISÃO,SEM VITIMAS,4,,,,,,,,,0,-8.1134632,-34.912731
1503,SEM VÍTIMA,FINALIZADA,2016-03-01,08:21:00,JORDÃO,RUA ALBERTO LUNDGREN,420,E/F A INTELGRAF NO LADO DIREITO DA VIA. SENTIDO BR 101,COLISÃO,SEM VÍTIMAS.,1,,,,,,1,,,0,-8.1348998,-34.9343639
1504,SEM VÍTIMA,FINALIZADA,2016-03-01,08:25:00,BOA VIAGEM,RUA SA E SOUZA,,SEMAFORO Nº159,COLISÃO,COL.S/V,1,,,,,1,,,,0,-8.138206,-34.9068544
1505,SEM VÍTIMA,FINALIZADA,2016-03-01,09:26:00,GRAÇAS,RUA DOZE DE OUTUBRO,223,AO LADO  DA TRUPE DO PE,COLISÃO,COL.S/V,2,,,,,,,,,0,-8.0432086,-34.8995559
